id,name,faction,raw_faction,attack,armor,health,raw_health,cost,raw_type,type,sub_types,card_effect,flavor_text
stiltstrider,Stiltstrider,myrmidon-dominion,Myrmidon Dominion,3,2,2,dd,7,unit-mech,unit,mech,"Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.)","When a ‘strider fires, the ion cloud makes your hair stand on end a kilometer away."
striker-mech,Striker Mech,myrmidon-dominion,Myrmidon Dominion,2,1,3,ddd,5,unit-mech,unit,mech,"Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.)",
synthsilk-platoon,Synthsilk Platoon,myrmidon-dominion,Myrmidon Dominion,1,1,4,dddd,7,unit-human,unit,human,Squad (This unit gets +1 Attack for every health on it.),A thread the width of a human hair can be woven into an army.
tundra-palace,Tundra Palace,myrmidon-dominion,Myrmidon Dominion,,,,,4,colony-facility,colony,facility,T: Gain DDD on your Citadel from the Creche,Tyranny of the majority.
veteran-plate,Veteran Plate,myrmidon-dominion,Myrmidon Dominion,,,,,5,augment-unit,augment,unit,"Search your scrap for a unit, and forge it for no cost. Attach Veteran Armor. Any D used for initial health become T.
If Veteran Armor is ever removed, scrap the attached unit.",
war-chiefs,War Chiefs,myrmidon-dominion,Myrmidon Dominion,3,1,4,dddd,4,unit-human,unit,human,"If you have no T on your Citadel at the beginning of your growth phase, scrap a health from this unit.","Hierarchy is everything to a Myrmidon warband, where a moment of weakness in the hymn can make a king into a corpse."
warthirst,Warthirst,myrmidon-dominion,Myrmidon Dominion,,,,,1,reflex,reflex,,Target unit gains +1 Attack for each unit in the enemy lane during combat.,‘Warthirst’ is the master’s euphemism for stim-addicts and sleepwalkers. Battle fatigue worn as a badge of honor.
anemoi,Anemoi,myrmidon-dominion,Myrmidon Dominion,2,1,4,dddd,3,unit-human,unit,human,Resilient (Restore one health from the Creche during your growth phase.),"Buffeted, tossed about, skin carved from storms that rage all their lives. Wormwood has hewn men from stone."
apsyntion-communication,Apsyntion Communication,myrmidon-dominion,Myrmidon Dominion,,,,,0,reflex,reflex,,"Draw a card, then draw a card for each Xeno in play.","<are you the song or the singer>
-First recording from Promethea probe"
apsyntion-symbiosis,Apsyntion Symbiosis,myrmidon-dominion,Myrmidon Dominion,,,,,1,reflex,reflex,,"Target faction’s units each gain Consume (If this unit deals lethal combat damage, add one health from the defeated unit.)","Ranna no longer felt ill when the spores drifted upwards, no longer dizzy from the song of the world."
behemoth,Behemoth,myrmidon-dominion,Myrmidon Dominion,4,2,2,dd,8,unit-xeno,unit,xeno,"Consume (If this unit deals lethal combat damage, add one health from the defeated unit.)","The behemoth is more like a force of nature than a living thing, and what man would choose to fight a hurricane?"
borespikes,Borespikes,myrmidon-dominion,Myrmidon Dominion,,,,,5,augment-unit,augment,unit,This unit gains +1 Armor and Pierce (This unit ignores Armor when in combat.),"A borespike might look like a tusk or a thorn to a layman, but a rose can’t chew its way through composite armor."
boreworm,Boreworm,myrmidon-dominion,Myrmidon Dominion,4,1,1,d,5,unit-xeno,unit,xeno,"Consume (If this unit deals lethal combat damage, add one health from the defeated unit.)","We’re looking at Eden’s defense system. Who are we to spit in the face of God?
-Vergil, Brood Handler"
brood-den,Brood Den,myrmidon-dominion,Myrmidon Dominion,,,,,3,colony-facility,colony,facility,"D➤ When you remove a D from this facility, you may add it to a target Xeno unit.",Lilin Matrons die protecting their final clutch — a first meal for the last born.
brood-handlers,Brood Handlers,myrmidon-dominion,Myrmidon Dominion,1,1,3,ddd,3,unit-chimera,unit,chimera,"Adjacent Xenos gain +1 Attack, and may restore 1 health from the Creche during your upkeep.","<your song is our song. the others must now be silent>
-End of Promethea Probe logs"
bury,Bury,myrmidon-dominion,Myrmidon Dominion,,,,,1,reflex,reflex,,"Move target unit to the back of any lane its owner controls. While this reflex is active, this unit gets -1 Attack and +1 Armor.",
chrysalis,Chrysalis,myrmidon-dominion,Myrmidon Dominion,0,1,1,d,2,unit-xeno,unit,xeno,"Add one D to this unit from the Creche during your growth phase.
If Chrysalis has 4 health, you may scrap and replace it with a Xeno from your hand. It gains all health from Chrysalis.",
contact,Contact,myrmidon-dominion,Myrmidon Dominion,,,,,1,reflex,reflex,,"Draw a card. If it is a unit, you may add it to the front of a lane you control with 1 health added from the Creche. If not, return it to the top of the deck.","My fingers brushed chitin and I heard the planet speak.
-Ranna Myran, Promethea Probe Team"
flock-webs,Flock Webs,myrmidon-dominion,Myrmidon Dominion,,,,,2,augment-unit,augment,unit,"This unit is Slow (If this unit takes lethal combat damage, it does not deal damage in return.)
If this unit deals combat damage to a unit, this card becomes attached to that unit.",
fungus-farm,Fungus Farm,myrmidon-dominion,Myrmidon Dominion,,,,,2,colony-facility,colony,facility,D: Add 1 D to this card from the Creche.,Lilin biostructures are complex neural weaves. A fungus farmer is as much an agriculturist as he is a psychiatrist.
harlequin,Harlequin,myrmidon-dominion,Myrmidon Dominion,2,1,3,ddd,4,unit-xeno,unit,xeno,"Cloak (When attacking, may ignore the first unit in the enemy lane. In a breach, this unit always uses its full Attack value.)",Chromatophores in the skin give the harlequin impeccable camouflage. 
incursion,Incursion,myrmidon-dominion,Myrmidon Dominion,,,,,2,reflex,reflex,,"Target unit gains +1 Attack, +1 Armor and Cloak (When attacking, may ignore the first unit in the enemy lane. In a breach, this unit always uses its full Attack value.)",
lilin-hive,Lilin Hive,myrmidon-dominion,Myrmidon Dominion,,,,,2,colony-facility,colony,facility,"If a unit you control loses health, you may place the token here instead of scrapping it. You cannot remove tokens from this card. 
For every 4 citizens here, units you control do +1 combat damage.",
lilin-matron,Lilin Matron,myrmidon-dominion,Myrmidon Dominion,1,1,1,d,4,unit-xeno,unit,xeno,"Add one health from the Crèche during your upkeep.
Squad (This unit gets +1 Attack for every health on it.)",Her children are legion.
lilin-vultures,Lilin Vultures,myrmidon-dominion,Myrmidon Dominion,0,1,1,d,2,unit-xeno,unit,xeno,"If any unit is scrapped, you may add a health to this unit from the Creche.
Squad (This unit gets +1 Attack for every health on it.)",
mark-of-the-hive,Mark of the Hive,myrmidon-dominion,Myrmidon Dominion,,,,,2,augment-facility,augment,facility,Any citizens on this facility are lost during that player’s growth phase.,There was no gnashing of teeth - this was something so alien it could not hate.
mimetic-scales,Mimetic Scales,myrmidon-dominion,Myrmidon Dominion,,,,,2,augment-unit,augment,unit,"This unit gains Cloak (When attacking, may ignore the first unit in the enemy lane. In a breach, this unit always uses its full Attack value.).","He startles, and his skin shifts in tone and texture, as his thoughts betray his camouflage."
musk-herders,Musk Herders,myrmidon-dominion,Myrmidon Dominion,1,0,4,dddd,2,unit-human,unit,human,"Resilient (Restore one health from the Creche during your growth phase.)
If this unit is at full health, you gain +1 T during your growth phase.",Herdsmen returning with a full flock are heroes for a day.
shroud,Shroud,myrmidon-dominion,Myrmidon Dominion,2,1,2,dd,3,unit-xeno,unit,xeno,Airborne (Each airborne unit may move during your move phase),"The real terror is behind you, when the second shroud blocks out the sun."
spawning-pits,Spawning Pits,myrmidon-dominion,Myrmidon Dominion,,,,,4,colony-facility,colony,facility,D: Restore 1 health to a unit you control from the Creche.,Neuroplastic fungal mats remarkably similar to our own creche tech - a fractal bridge between our species.
spore-weevils,Spore Weevils,myrmidon-dominion,Myrmidon Dominion,0,0,4,dddd,5,unit-xeno,unit,xeno,Squad (This unit gets +1 Attack for every health on it.),A blight of weevils knows only hunger.
sporemask-poachers,Sporemask Poachers,myrmidon-dominion,Myrmidon Dominion,3,0,3,ddd,4,unit-human,unit,human,"Consume (If this unit deals lethal combat damage, add one health from the defeated unit.)",Poachers only need a few moments in the mist to fill a sac with a month’s salary.
wind-cathedral,Wind Cathedral,myrmidon-dominion,Myrmidon Dominion,,,,,4,colony-facility,colony,facility,"During their upkeep, each opponent must move a D from their Citadel to this facility, if they can.","When the planet sang, we listened and learned. This is their Voice, and it calls to all humanity.
-Cult Bishop Neroma"
windlion,Windlion,myrmidon-dominion,Myrmidon Dominion,3,0,3,ddd,4,unit-xeno,unit,xeno,"Slow (If this unit takes lethal combat damage, it does not deal damage in return.)
This unit gains +1 Attack for each point of health below its maximum.",The bellow is tuned to a critical frequency - pained howls can crack armor... or a man’s skeleton.
windwalker-camp,Windwalker Camp,myrmidon-dominion,Myrmidon Dominion,,,,,3,colony-facility,colony,facility,D: Restore 1 health to target unit from your Citadel.,They tamed the wasteland. Only fitting they would tame the Lilin.
xeno-psychology,Xeno Psychology,myrmidon-dominion,Myrmidon Dominion,,,,,1,reflex,reflex,,Your units gain +1 Attack.,"We’re looking at a myconeural network with a far greater magnitude than the human brain. We are the virus here.
-Ranna Myren, Promethea Probe Team"
xenophagy,Xenophagy,myrmidon-dominion,Myrmidon Dominion,,,,,2,augment-unit,augment,unit,"This unit gains Consume (If this unit deals lethal combat damage, add one health from the defeated unit.)",
